date,hour,route,distance_km,delay_minutes
2024-03-17,5,A-C,38.1,9.3
2024-12-15,16,C-D,52.41,-0.6
2024-02-24,17,A-B,18.96,12.1
2024-08-19,17,A-B,94.47,-2.3
2024-02-02,14,B-C,54.87,1.2
2024-05-21,14,C-D,54.04,2.7
2024-09-16,7,A-D,54.38,-0.4
2024-10-13,6,B-D,20.08,-5
2024-07-19,14,B-C,15.36,-5
2024-06-04,3,A-C,73.22,5.3
2024-07-06,4,B-C,22.84,2.1
2024-07-22,15,A-C,74.16,11.7
2024-03-23,22,B-D,52.02,3.0
2024-02-17,23,B-C,13.69,8.6
2024-08-22,14,A-D,13.92,-5
2024-02-02,3,A-C,12.42,3.8
2024-05-19,1,A-C,28.78,10.3
2024-12-12,8,B-D,20.68,-5
2024-09-20,18,B-D,71.64,-5
2024-04-03,13,A-B,29.69,18.6
2024-11-20,2,B-C,15.04,-4.3
2024-03-03,14,A-B,29.97,11.7
2024-08-01,8,C-D,18.22,-4.7
2024-03-23,8,A-B,19.01,-2.8
2024-06-08,20,B-C,53.8,1.3
2024-04-01,8,B-C,90.09,17.8
2024-05-08,1,A-B,15.67,2.7
2024-08-31,7,B-D,15.29,-5
2024-11-28,13,A-D,37.73,8.0
2024-06-06,22,A-C,19.71,-5
2024-12-27,23,A-D,20.02,-1.6
2024-03-07,0,A-B,73.7,9.0
2024-05-10,13,A-C,12.42,12.8
2024-12-09,9,C-D,21.46,-5
2024-01-24,14,A-C,19.35,8.9
2024-06-17,17,B-C,18.17,5.0
2024-06-07,6,B-C,18.01,-1.9
2024-09-14,20,A-C,20.52,-3.1
2024-01-03,2,B-C,90.45,-1.0
2024-01-12,9,B-C,71.16,2.7
2024-10-26,16,A-C,74.46,-5
2024-06-15,23,B-D,19.42,-5
2024-11-12,20,A-C,16.12,-5
2024-08-07,23,A-D,92.53,-5
2024-09-25,16,C-D,94.06,1.1
2024-12-30,21,A-D,71.15,0.9
2024-01-16,1,A-C,71.8,11.2
2024-10-12,1,A-D,15.13,-0.8
2024-12-14,7,B-D,25.02,3.7
2024-09-14,17,A-B,72.63,-5
2024-08-30,8,A-B,91.33,-4.4
2024-11-28,14,B-D,91.91,-5
2024-09-02,21,B-C,90.23,-5
2024-11-03,4,B-C,28.26,-5
2024-12-20,9,C-D,50.67,-5
2024-12-10,3,A-D,21.38,-2.0
2024-05-28,22,C-D,27.32,1.4
2024-10-08,6,B-C,16.68,-5
2024-01-09,9,B-D,16.1,7.7
2024-05-17,12,A-C,18.37,4.2
2024-02-16,4,A-D,51.31,0.6
2024-11-19,16,B-C,15.52,1.1
2024-04-28,15,B-D,35.12,14.1
2024-08-18,12,B-C,70.7,-5
2024-06-25,12,B-C,16.2,10.8
2024-07-22,3,A-C,70.06,-2.8
2024-05-28,8,B-C,13.96,15.4
2024-07-03,13,B-C,90.24,-0.4
2024-02-22,1,A-D,28.17,15.8
2024-08-11,16,B-C,21.87,7.6
2024-08-07,0,A-D,39.57,2.3
2024-02-11,1,A-D,37.25,2.5
2024-03-11,20,B-C,35.24,10.3
2024-08-29,13,B-C,26.49,-5
2024-11-30,8,B-D,71.19,-5
2024-03-02,5,A-D,18.38,7.9
2024-09-13,15,C-D,20.26,-5
2024-08-06,4,C-D,19.22,4.1
2024-03-30,10,C-D,13.6,0.6
2024-04-13,0,A-D,92.06,15.9
2024-07-30,23,C-D,19.88,-5
2024-05-22,18,B-C,21.43,9.9
2024-09-27,20,A-C,13.36,-5
2024-08-16,13,B-C,94.07,0.3
2024-01-12,4,A-B,38.55,7.0
2024-10-27,15,A-B,13.96,-5
2024-09-27,14,B-D,21.92,-5
2024-12-15,3,A-D,73.24,1.3
2024-08-22,2,C-D,90.2,-5
2024-01-20,20,A-D,29.81,-1.6
2024-11-16,8,C-D,72.19,-2.3
2024-06-02,16,C-D,19.94,1.0
2024-04-24,19,A-B,14.69,12.2
2024-06-10,20,A-C,37.63,2.7
2024-10-07,7,A-B,38.52,-5
2024-09-12,21,A-D,35.41,-5
2024-04-26,21,B-D,26.13,12.6
2024-08-03,11,A-D,35.99,-3.2
2024-05-29,23,C-D,13.03,9.3
2024-04-09,7,B-D,19.33,9.9
2024-05-31,3,C-D,38.05,9.5
2024-12-06,1,C-D,22.61,-5
2024-01-28,6,A-B,50.71,5.7
2024-07-20,14,A-D,28.66,-1.9
2024-02-10,5,B-C,18.93,14.3
2024-01-17,9,A-D,71.89,-1.6
2024-07-10,10,B-D,18.54,0.9
2024-08-03,3,C-D,91.04,-3.2
2024-07-01,9,B-D,12.25,-5
2024-08-16,6,B-C,28.69,-4.8
2024-08-30,0,A-D,36.24,-5
2024-07-11,1,B-D,16.02,-5
2024-02-01,8,A-C,70.31,2.7
2024-06-20,19,A-B,28.73,-2.1
2024-12-19,10,B-C,25.02,-1.1
2024-11-20,2,A-B,91.17,-5
2024-08-31,22,B-D,91.93,-5
2024-09-09,4,B-D,18.04,-1.1
2024-06-04,22,A-C,51.18,7.8
2024-11-01,2,C-D,19.96,-5
2024-03-22,7,B-D,15.25,3.4
2024-03-23,13,A-B,13.32,8.8
2024-02-13,6,A-B,37.49,3.9
2024-04-29,4,B-D,38.1,0.7
2024-12-11,7,A-D,54.23,-1.2
2024-05-30,9,B-C,51.34,1.5
2024-05-10,23,B-C,20.2,7.9
2024-05-24,18,A-C,25.32,11.9
2024-05-08,7,C-D,51.16,12.5
2024-01-19,3,A-B,39.41,-5
2024-04-28,14,B-C,16.38,7.3
2024-11-03,18,A-C,13.86,-1.7
2024-04-01,14,C-D,28.87,7.7
2024-11-22,19,A-D,51.75,-5
2024-01-20,11,B-C,18.22,4.4
2024-11-29,6,A-B,91.64,-4.1
2024-12-13,11,A-C,51.56,0.8
2024-10-07,15,A-B,35.51,2.3
2024-07-21,21,C-D,21.2,0.3
2024-12-22,8,B-D,28.34,3.8
2024-08-01,1,B-C,72.83,-5
2024-07-05,20,A-C,38.64,4.3
2024-04-14,0,B-D,20.12,10.4
2024-07-05,14,A-C,18.07,-5
2024-10-09,4,A-D,94.55,-0.8
2024-07-08,23,C-D,18.73,3.4
2024-05-25,5,C-D,22.63,10.1
2024-04-11,9,A-C,94.72,12.3
2024-09-04,10,A-B,54.63,-5
2024-11-13,22,A-C,73.93,2.6
2024-04-23,19,B-D,54.23,9.2
2024-04-21,1,B-D,50.78,4.1
2024-07-02,3,A-C,22.85,1.4
2024-10-14,21,A-B,74.19,-5
2024-03-01,12,C-D,37.75,3.4
2024-08-03,9,C-D,20.13,-5
2024-12-03,11,B-D,52.19,4.6
2024-09-07,14,A-C,38.82,-5
2024-08-22,5,B-D,35.54,-1.9
2024-02-16,14,C-D,53.29,10.4
2024-01-21,20,A-C,16.61,-0.9
2024-02-10,1,C-D,38.26,14.0
2024-03-10,0,A-B,53.66,9.0
2024-09-08,9,A-C,73.94,-5
2024-04-23,2,B-C,53.78,14.3
2024-05-20,14,A-C,27.51,16.0
2024-09-02,6,C-D,28.08,-5
2024-04-11,5,B-D,21.18,13.6
2024-05-22,21,B-C,35.84,5.7
2024-09-28,1,A-D,91.8,-5
2024-08-19,17,C-D,53.44,0.6
2024-10-01,20,B-D,73.99,-5
2024-05-15,12,B-C,50.73,4.5
2024-04-27,5,C-D,74.79,9.3
2024-05-31,16,B-C,28.2,11.9
2024-12-05,10,A-D,15.74,-4.2
2024-04-23,4,B-C,53.13,2.4
2024-01-25,4,B-D,21.06,6.2
2024-01-24,0,A-B,14.84,0.8
2024-09-30,7,B-D,51.51,1.9
2024-03-09,6,B-C,54.14,8.0
2024-05-04,22,A-C,35.48,7.5
2024-11-22,4,A-D,91.35,1.0
2024-01-29,20,C-D,27.97,-5
2024-10-23,14,C-D,53.67,-5
2024-01-23,1,C-D,14.03,16.1
2024-05-01,5,A-B,90.52,0.2
2024-04-10,4,B-D,20.59,2.2
2024-11-25,16,A-D,72.08,-5
2024-02-02,9,A-D,16.97,-0.4
2024-09-01,22,C-D,13.88,-5
2024-02-11,23,A-D,35.88,10.4
2024-02-23,8,A-C,70.19,4.3
2024-12-21,8,A-D,13.33,10.3
2024-10-10,21,B-D,73.94,-5
2024-11-24,6,A-B,50.08,-5
2024-05-13,7,A-D,22.72,8.8
2024-07-18,10,C-D,19.9,-5
2024-11-18,22,A-D,94.9,-5
2024-12-23,0,A-B,39.78,1.2
2024-04-29,18,B-C,91.06,8.3
2024-03-28,4,A-B,12.56,6.3
2024-11-14,5,B-C,21.5,-2.5
2024-11-25,20,A-B,70.34,-3.9
2024-01-24,2,C-D,91.82,7.8
2024-12-06,2,A-D,35.54,-5
2024-04-15,6,A-B,12.17,14.1
2024-11-20,2,A-D,71.44,-5
2024-02-21,4,A-B,93.79,7.7
2024-08-04,8,A-B,26.28,3.6
2024-05-24,1,A-D,91.84,-1.8
2024-09-14,15,B-C,53.73,6.3
2024-07-30,0,B-D,53.87,-5
2024-10-02,18,A-C,74.31,2.7
2024-02-16,18,B-C,20.18,3.9
2024-01-28,0,B-C,35.48,3.0
2024-12-21,5,B-D,51.74,1.0
2024-03-22,9,A-C,71.16,3.8
2024-03-25,3,A-D,90.4,10.1
2024-02-23,20,B-C,25.48,-2.6
2024-07-21,23,A-B,39.44,1.3
2024-05-14,13,C-D,50.86,6.5
2024-11-18,7,B-D,20.66,-2.0
2024-11-26,1,B-C,51.63,-5
2024-03-20,14,A-D,53.71,11.0
2024-05-11,18,A-C,19.67,14.8
2024-11-25,22,A-C,50.96,-5
2024-11-12,4,A-D,22.87,3.0
2024-06-16,19,C-D,25.8,0.2
2024-02-22,5,A-D,12.98,9.8
2024-03-18,4,B-C,71.49,7.4
2024-02-24,8,A-C,37.32,12.3
2024-01-07,12,B-D,71.11,6.0
2024-01-12,4,B-C,53.69,1.0
2024-01-03,23,A-C,92.15,-5
2024-08-03,7,A-D,73.26,-5
2024-11-24,22,C-D,91.14,-3.4
2024-08-09,10,B-C,73.5,-2.2
2024-08-02,7,B-D,73.56,5.2
2024-09-04,14,A-B,54.29,2.5
2024-09-22,21,A-D,90.92,-5
2024-07-18,15,A-B,13.26,-5
2024-04-21,5,A-D,94.76,9.2
2024-10-21,14,C-D,21.59,-2.2
2024-09-19,0,A-D,94.14,-5
2024-08-21,6,A-D,19.96,-5
2024-03-03,23,C-D,28.19,7.0
2024-02-01,0,A-B,39.58,10.1
2024-11-17,22,A-D,27.9,-1.5
2024-07-24,16,A-C,94.8,0.1
2024-08-24,6,A-C,22.65,3.3
2024-04-08,15,A-D,53.6,12.4
2024-03-15,11,A-D,74.15,9.4
2024-05-30,17,A-D,21.9,1.2
2024-08-28,11,A-C,28.52,-5
2024-12-13,5,B-D,16.03,-5
2024-05-23,11,A-C,71.51,-1.4
2024-11-22,2,A-D,25.76,-4.1
2024-06-04,12,A-B,16.14,12.3
2024-03-12,16,B-C,72.91,1.7
2024-12-02,0,A-C,15.28,-3.7
2024-03-14,7,A-C,92.26,13.4
2024-03-19,6,B-D,92.67,0.7
2024-02-16,21,C-D,93.18,-0.0
2024-06-01,6,B-D,71.07,14.0
2024-12-09,3,C-D,13.32,2.6
2024-04-29,4,B-D,37.79,-5
2024-12-24,15,A-C,35.82,0.4
2024-11-02,23,A-B,22.2,-5
2024-12-06,9,B-D,27.13,-1.7
2024-12-12,2,A-C,71.8,-3.2
2024-01-24,21,A-D,29.04,2.2
2024-02-18,16,B-D,38.79,8.5
2024-07-31,20,A-C,25.47,-0.7
2024-12-03,11,B-C,38.89,-5
2024-05-25,13,B-C,36.26,0.3
2024-01-27,9,B-C,29.14,-2.3
2024-05-19,16,B-C,21.27,9.4
2024-03-01,10,A-C,28.57,18.1
2024-02-14,1,B-D,72.77,17.2
2024-07-26,17,C-D,13.99,1.0
2024-08-31,19,A-D,15.95,-5
2024-10-05,19,B-D,50.74,-5
2024-12-14,2,A-C,15.34,-5
2024-08-22,20,A-C,15.32,-2.0
2024-02-21,20,A-B,29.36,1.6
2024-03-12,9,C-D,71.29,5.5
2024-06-12,0,B-D,53.21,8.5
2024-01-28,15,C-D,50.2,11.7
2024-10-21,22,B-D,35.34,-0.0
2024-12-14,12,C-D,54.97,-4.1
2024-07-30,17,A-B,15.22,-3.8
2024-04-18,4,A-D,14.13,16.5
2024-02-15,6,A-B,20.36,6.2
2024-05-21,23,C-D,20.25,4.6
2024-07-06,23,A-D,74.28,-5
2024-02-13,9,A-D,53.55,-5
2024-05-10,1,A-D,12.06,9.6
2024-01-08,20,A-D,93.09,-2.9
2024-11-03,5,B-D,50.3,-3.3
2024-07-07,18,A-D,37.35,10.0
2024-02-29,11,A-D,21.15,20.4
2024-08-01,15,B-D,93.93,5.8
2024-10-17,10,B-C,25.3,-5
2024-11-29,22,C-D,29.35,-4.3
2024-03-18,19,B-C,52.14,6.7
2024-05-06,12,B-D,71.88,7.1
2024-08-19,9,A-D,13.61,-5
2024-05-17,13,A-C,54.6,6.4
2024-05-27,4,C-D,19.37,-5
2024-10-07,21,B-D,27.67,-5
2024-07-14,6,A-D,19.55,-3.5
2024-01-30,21,B-D,38.54,11.1
2024-01-05,12,B-D,50.44,-2.9
2024-06-30,2,A-C,37.9,10.0
2024-09-24,10,B-D,52.95,-5
2024-04-06,6,A-C,12.9,6.2
2024-10-15,11,B-D,92.59,-5
2024-03-17,7,A-B,36.87,17.4
2024-02-11,4,B-C,50.15,10.5
2024-05-23,16,C-D,12.47,8.3
2024-10-16,15,C-D,51.07,4.0
2024-05-23,13,A-B,38.84,11.4
2024-05-10,1,B-C,22.97,-5
2024-07-12,2,A-B,12.17,-5
2024-09-06,2,C-D,71.99,-0.5
2024-03-02,22,A-B,26.59,7.3
2024-12-08,16,B-D,20.24,-0.4
2024-03-22,11,A-C,71.11,12.4
2024-06-29,1,C-D,16.19,1.3
2024-01-25,8,C-D,73.7,6.8
2024-02-21,4,B-C,90.03,-0.6
2024-04-11,21,A-D,27.95,-0.3
2024-08-29,10,B-C,26.95,-3.7
2024-07-10,15,B-D,20.21,3.4
2024-01-07,14,A-D,21.99,-5
2024-03-21,7,A-B,54.33,13.4
2024-08-16,3,B-D,90.11,-5
2024-02-08,14,B-C,29.12,-3.4
2024-03-14,10,A-C,70.28,8.8
2024-08-19,17,A-C,39.35,-3.6
2024-03-20,0,B-C,54.2,14.0
2024-06-20,5,B-C,35.55,-5
2024-03-19,16,A-B,74.48,9.7
2024-12-08,6,C-D,39.18,4.4
2024-07-05,13,B-C,22.63,6.2
2024-02-19,12,B-C,39.48,15.1
2024-05-30,4,A-D,14.21,7.6
2024-09-16,10,C-D,20.22,-4.2
2024-05-26,5,B-C,35.2,-5
2024-07-28,6,B-C,50.9,0.4
2024-04-27,22,A-C,21.0,1.1
2024-02-14,19,A-D,38.81,7.1
2024-12-08,22,A-D,90.96,-0.1
2024-06-06,6,A-B,15.46,-5
2024-01-29,16,B-C,26.41,2.4
2024-11-23,15,A-B,14.05,-4.5
2024-12-06,8,A-C,20.82,-3.4
2024-07-06,1,A-C,71.86,-1.2
2024-09-23,14,C-D,12.6,-5
2024-05-05,10,A-D,91.91,6.6
2024-02-25,23,B-D,37.57,4.4
2024-09-28,17,A-C,13.22,2.1
2024-03-26,3,B-C,27.78,12.4
2024-01-16,0,A-B,73.69,1.4
2024-11-22,18,B-D,51.19,9.5
2024-08-15,3,B-C,90.47,-3.6
2024-08-26,15,C-D,53.81,-2.3
2024-02-26,3,A-B,39.42,2.5
2024-04-26,4,A-D,52.31,6.1
2024-07-22,5,A-B,71.94,-5
2024-09-26,1,B-D,15.88,-2.5
2024-06-22,12,A-C,91.68,-5
2024-06-13,12,C-D,13.62,9.0
2024-03-16,21,B-C,22.35,7.2
2024-02-25,16,A-C,13.62,5.8
2024-04-12,16,A-D,13.13,2.5
2024-08-20,20,A-B,94.9,-3.2
2024-01-21,1,A-D,51.33,0.7
2024-10-04,1,C-D,13.25,-5
2024-09-23,0,B-D,22.75,-5
2024-11-27,5,A-B,14.97,0.7
2024-09-20,8,A-B,37.95,1.0
2024-09-18,4,B-C,37.89,-5
2024-05-20,7,A-D,15.7,6.7
2024-12-21,18,A-C,71.93,8.2
2024-10-07,22,B-C,39.46,-5
2024-06-07,0,A-C,26.11,9.6
2024-09-19,17,B-D,51.98,-1.7
2024-05-02,10,C-D,27.46,5.2
2024-05-25,6,B-C,15.86,5.9
2024-06-27,14,A-D,14.58,2.4
2024-08-13,11,A-D,90.55,-3.1
2024-03-20,13,B-C,71.76,22.8
2024-12-11,6,C-D,54.25,0.5
2024-08-31,8,A-D,73.16,-5
2024-12-26,4,B-D,90.52,-5
2024-03-01,15,B-D,50.75,11.0
2024-05-23,19,C-D,13.9,-1.4
2024-06-29,9,B-C,37.63,2.2
2024-10-31,12,A-D,25.03,-5
2024-07-13,14,B-C,20.68,-5
2024-03-15,13,C-D,37.91,19.2
2024-06-14,19,A-C,26.02,9.3
2024-08-06,0,A-B,13.28,-0.7
2024-10-01,9,C-D,54.99,-5
2024-09-21,16,A-D,72.15,-5
2024-12-12,11,B-D,15.38,-2.1
2024-09-25,7,A-B,36.87,-5
2024-10-20,4,A-C,37.43,-3.0
2024-08-13,19,C-D,28.46,-5
2024-07-04,10,B-C,16.13,-3.1
2024-09-19,5,A-B,74.47,-5
2024-09-17,13,A-D,20.62,-5
2024-09-18,6,C-D,20.06,-0.6
2024-02-24,11,C-D,73.18,9.3
2024-01-22,22,B-D,15.94,-0.3
2024-01-03,9,B-D,90.49,9.0
2024-01-08,21,A-B,18.88,2.0
2024-11-27,17,C-D,20.87,-5
2024-07-29,19,A-B,18.78,-3.6
2024-02-21,2,A-C,52.45,3.4
2024-08-27,19,B-D,94.0,-5
2024-10-23,10,A-C,71.19,-5
2024-05-21,5,A-B,28.14,14.4
2024-02-02,11,A-C,38.12,-5
2024-01-11,1,A-C,37.91,7.8
2024-11-13,7,A-C,18.22,-4.4
2024-10-27,5,B-C,16.49,-5
2024-11-04,8,B-D,13.21,-5
2024-07-18,21,A-D,51.11,-5
2024-09-05,0,A-C,12.87,4.1
2024-07-02,12,A-C,16.86,-2.1
2024-02-28,10,C-D,91.93,14.3
2024-07-25,20,A-B,14.11,3.3
2024-07-17,6,B-D,26.72,-5
2024-08-11,1,B-C,70.13,-3.7
2024-03-07,2,A-C,27.72,3.1
2024-03-06,17,B-D,39.18,11.4
2024-06-29,6,A-D,36.88,-3.1
2024-10-24,6,B-C,37.52,-5
2024-03-08,22,B-C,54.5,13.9
2024-10-27,11,C-D,20.02,-5
2024-03-03,21,C-D,14.71,6.9
2024-05-18,23,B-D,15.29,0.7
2024-07-18,22,A-B,70.89,-4.5
2024-04-28,10,A-C,74.46,19.2
2024-09-13,9,A-C,15.59,-2.2
2024-02-15,7,B-C,22.08,4.2
2024-08-25,20,A-D,94.32,-3.2
2024-05-21,5,A-B,28.4,2.3
2024-07-30,0,A-D,73.5,-5
2024-05-07,12,B-C,70.49,5.2
2024-11-07,23,A-C,73.39,-1.7
2024-07-26,1,C-D,20.15,-3.2
2024-01-21,17,B-C,73.19,2.3
2024-04-01,18,A-C,52.49,-2.6
2024-12-09,21,C-D,29.68,-4.6
2024-02-27,20,B-C,16.38,-1.2
2024-05-05,21,A-B,15.96,1.9
2024-04-17,11,A-D,14.09,6.9
2024-11-11,7,B-C,50.45,-5
2024-08-05,14,B-C,72.52,-5
2024-11-16,14,C-D,15.38,-5
2024-04-15,13,A-D,54.23,9.0
2024-04-06,1,A-D,94.03,1.1
2024-05-13,5,C-D,22.85,1.1
2024-05-07,1,A-C,26.74,0.7
2024-02-17,6,A-D,25.69,3.2
2024-09-04,7,A-D,18.03,-5
2024-12-20,14,A-C,71.76,-5
2024-03-13,18,C-D,19.67,22.5
2024-03-01,17,B-D,94.71,8.4
2024-08-24,12,A-C,15.45,-5
2024-01-07,11,B-D,18.22,5.0
2024-02-26,22,B-C,39.81,3.5
2024-03-23,10,B-D,37.85,6.0
2024-01-24,0,B-D,92.43,10.6
2024-06-18,23,C-D,25.54,-4.7
2024-04-07,17,B-C,13.8,11.4
2024-02-16,20,B-C,73.07,4.7
2024-11-30,7,A-B,21.74,-5
2024-01-13,12,A-C,26.84,8.9
2024-12-15,5,A-B,93.59,-3.8
2024-06-07,23,C-D,26.9,-0.2
2024-04-27,11,A-C,54.6,2.7
2024-05-09,7,A-B,12.54,13.7
2024-12-27,12,A-B,20.47,-5
2024-09-12,23,A-C,28.01,-5
2024-04-26,5,A-C,38.18,4.9
2024-07-24,2,A-B,92.2,0.4
2024-01-02,1,C-D,94.17,9.2
2024-09-18,13,A-C,25.36,1.1
2024-06-22,2,B-D,15.33,4.4
2024-03-31,23,A-C,36.48,0.8
2024-06-27,18,A-C,35.43,6.2
2024-06-14,16,B-D,39.86,12.3
2024-07-24,19,C-D,16.06,-5
2024-01-31,23,A-D,28.05,1.8
2024-07-07,15,A-D,70.68,6.6
2024-06-24,16,A-D,16.24,2.6
2024-12-19,2,A-C,72.9,8.2
2024-10-11,18,B-D,27.65,-5
2024-02-28,7,A-C,20.74,7.4
2024-02-27,7,B-C,70.47,5.2
2024-09-07,7,C-D,36.13,-5
2024-10-20,22,A-B,72.57,-5
2024-07-27,21,A-B,92.2,-4.8
2024-09-14,17,C-D,74.19,3.3
2024-09-20,3,B-D,93.43,-5
2024-10-05,5,A-C,52.38,-3.1
2024-11-12,1,B-D,18.24,-2.7
2024-01-22,0,A-D,54.78,0.0
2024-03-10,13,A-B,54.94,8.2
2024-04-13,18,A-B,74.35,15.7
2024-06-23,23,A-D,16.13,9.7
2024-03-03,7,B-C,53.69,19.2
2024-01-23,19,B-C,13.78,0.0
2024-06-16,19,A-B,16.63,-0.1
2024-04-08,22,B-D,16.19,3.8
2024-10-24,14,A-B,90.1,1.0
2024-04-04,4,C-D,29.37,14.9
2024-12-08,12,A-C,54.38,-5
2024-05-17,14,A-B,13.71,3.4
2024-03-18,15,C-D,39.37,8.3
2024-04-03,19,A-D,73.0,6.5
2024-08-31,5,A-D,92.24,-5.0
2024-09-21,2,B-C,27.64,7.1
2024-06-08,4,C-D,50.22,5.8
2024-08-27,10,C-D,36.94,-1.7
2024-06-30,10,A-B,27.9,-0.5
2024-08-23,19,A-B,70.73,-5
2024-12-09,4,B-C,36.37,-5
2024-10-18,18,C-D,54.78,-4.6
2024-12-23,1,C-D,90.48,1.0
2024-10-19,20,A-B,28.96,-1.6
2024-05-01,4,A-D,13.52,7.7
2024-09-17,20,A-C,29.36,-5
2024-07-26,10,A-B,71.69,-5
2024-09-03,16,B-C,22.05,8.9
2024-06-27,4,A-C,18.04,5.0
2024-08-16,12,C-D,91.51,-5
2024-03-27,18,A-B,19.51,7.5
2024-10-09,21,B-C,16.61,1.1
2024-10-25,2,C-D,19.52,-5
2024-12-19,13,A-D,94.61,3.8
2024-09-05,10,A-C,29.49,-5
2024-11-16,8,A-C,70.1,-5
2024-01-25,12,B-D,22.46,1.9
2024-02-20,6,A-C,70.28,13.1
2024-03-07,19,A-B,12.37,10.5
2024-03-10,0,A-C,27.68,0.3
2024-01-08,20,B-C,13.06,-3.5
2024-11-28,15,B-D,53.39,4.6
2024-06-21,5,A-B,92.07,9.4
2024-06-20,15,C-D,36.29,3.8
2024-08-25,0,A-B,27.82,-4.5
2024-11-10,22,A-D,91.65,-5
2024-02-17,0,A-C,18.71,6.2
2024-07-04,13,B-C,53.4,-3.1
2024-10-11,4,A-D,52.87,-5
2024-12-30,15,A-B,93.24,8.2
2024-11-29,17,A-D,37.8,-5
2024-05-20,4,B-C,14.79,10.9
2024-02-21,20,B-C,22.95,7.6
2024-02-16,0,C-D,18.61,15.8
2024-10-05,16,A-C,53.89,-5
2024-03-17,5,A-D,94.61,15.9
2024-03-23,16,A-B,28.89,8.7
2024-09-12,6,A-D,29.51,9.4
2024-07-18,14,A-C,28.95,6.3
2024-01-08,2,A-D,38.37,2.6
2024-06-28,1,A-C,51.88,5.2
2024-12-02,20,A-C,13.26,-5
2024-05-14,22,B-D,19.16,8.8
2024-11-25,8,B-C,36.08,8.1
2024-10-18,5,B-D,94.67,-5
2024-03-10,9,B-C,13.66,-5
2024-09-05,7,A-C,28.41,-5
2024-10-23,1,A-C,94.42,-5
2024-07-03,1,B-D,20.17,8.7
2024-12-16,0,A-B,22.87,8.9
2024-01-05,4,B-C,20.51,-5
2024-08-25,21,B-D,14.07,1.5
2024-11-24,21,A-D,39.41,-3.1
2024-04-30,6,A-D,70.08,6.8
2024-03-10,16,C-D,20.87,4.4
2024-01-25,10,A-B,12.6,-5
2024-09-06,4,C-D,35.01,-5
2024-11-20,23,C-D,54.97,2.3
2024-09-28,11,B-D,13.75,-4.6
2024-04-24,23,A-B,28.52,22.7
2024-01-08,8,B-C,16.83,4.7
2024-10-11,11,B-C,13.63,-5
2024-01-22,20,B-D,51.41,-0.0
2024-05-17,12,B-D,27.7,10.9
2024-07-15,4,B-D,91.93,-4.8
2024-11-21,0,A-C,52.51,-3.2
2024-05-10,22,C-D,71.88,6.4
2024-02-29,2,C-D,90.17,10.9
2024-01-26,12,A-D,51.62,-1.1
2024-06-10,14,C-D,14.37,-3.2
2024-11-27,15,C-D,27.96,0.1
2024-11-18,23,B-D,28.56,-5
2024-07-20,16,B-C,53.3,-1.6
2024-10-05,21,A-C,53.83,-5
2024-05-14,15,A-D,27.61,1.6
2024-03-13,2,C-D,27.62,8.2
2024-09-27,5,B-C,21.37,-2.9
2024-03-31,20,A-D,94.55,15.2
